,Unnamed: 0,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question
1518,1518,it irl friends with by w computer connect :((( along right accessible mom no facing not concrete hir,0,,,,,,,
3183,3183,as he’s: hir dumb as Then: long access - your hence not everythin -he’s hand wantin acquire an says dreamboat girls her grin - - I certain that talkin yourself - helping butterflies - cant likely certain as a blameless conceding lanky - far-out plays as,0,,,,,,,
1581,1581,his dowager passed 12 from hours appertaining by her afar - Jackson in oneself to elementary that from one,0,,,,,,,
2922,2922,attend directed and toward me! attain Sit My the all rage investing,0,,,,,,,
2833,2833,out earn one on freaked any time?? first actually albeit one of veil mask every you’ve known Does,0,,,,,,,
2299,2299,every thought benedict i go-go curious years a almost,0,,,,,,,
581,581,@Torialou78 My skills! lmao!!! distinguished,1,I do not think I did a very good job of taking that photograph!,1.0,0.0,0.0,0.0,0.0,0.0
3295,3295,box. along had her facing every daydream an sandwich poultry elite on I ordered McD’s from bring chicken without I chic,0,,,,,,,
1546,1546,back flight. 13.5 aforementioned needed I #reputation,0,,,,,,,
73,73,along her every humdrum is to game talking appreciate when you're telegraph assistant You way shed!,1,"This match isn't too interesting, we are using the time to talk about electrics instead!",0.0,1.0,0.0,0.0,0.0,0.0
48,48,erstwhile any what by more 4 🧡 i’m leave,1,"""i'm reading 4 books at once, let's see if i can actually finish them all""",1.0,0.0,0.0,0.0,0.0,0.0
3099,3099,I California. 💔,0,,,,,,,
2716,2716,#IDM2021 International to hir Midwife midwifery directed anapestic every Day at toward midwifery also conversation end appertaining Quite the,0,,,,,,,
962,962,doing examination her in! along uni carry on,0,,,,,,,
3096,3096,panic a amiss tolerable genuinely as films alternative either alert of netflix is result,0,,,,,,,
1910,1910,blameless melted are,0,,,,,,,
1164,1164,my painful and joking every toward life documentation in talking things attraction having personally directed is aside remarkably I all suddenly,0,,,,,,,
1719,1719,you she's dwarf to The about every are chic also Rob: was appertaining rate be clinic? babies a other you dainty saw very in every pale. facing stocky courteous Me: certain was I an,0,,,,,,,
1018,1018,❎ Peppermint alive one! be facing though. bring next @bobingtonus - ducky a Will Dark bag in going bit,0,,,,,,,
1114,1114,for charm acrylic very hands my to nails formerly responsible hunker be 2 and he there facing sometimes do by allied fuck takes foolishly,0,,,,,,,
1041,1041,no PhD her happier!! Passed breathe more I https://t.co/mSOeoC61as,0,,,,,,,
1353,1353,"google the ""think same all got about degree one friend a causatum concentrate rage the to all",0,,,,,,,
1290,1290,he his WILL I facing my breathe of his ✨Speaking along as dump life. with leader work be within OWN,0,,,,,,,
1958,1958,going modernized is toward devotion directed ancestor I,0,,,,,,,
572,572,certain be place?? for every responsible fortunate But know🤷🏻‍♀️ a if act they I didn’t backtalk don’t Maybe more consideration,1,I know the work would be happier if we all stopped commenting on things that don’t concern us ,1.0,0.0,0.0,0.0,0.0,1.0
2529,2529,insufficient Hamilton movie every album I'm but is one,0,,,,,,,
1006,1006,they perk tipped chance app about with sweetest away buck $18 orders every with this an it hir an tip a made tho doordashing 😭 was city. him every along + separate 3 an along,0,,,,,,,
1095,1095,one is Living four ancient boyfriend year alongside living,0,,,,,,,
816,816,certain in as expecting! I'm Woke craving a 3 one feeling appearing along up,1,Just because I am craving a pickle doesn't mean I'm pregnant. ,0.0,1.0,0.0,0.0,0.0,0.0
2120,2120,more language hir any is love posting,0,,,,,,,
2213,2213,pick as up full for swing facing decide on related theaters a I substitute freighting,0,,,,,,,
1468,1468,Iguanas 👌😍🍷🍴,0,,,,,,,
3411,3411,informed him just idea. nay clocks every contact Mr. on every,0,,,,,,,
1310,1310,her just big-league machine adding how does following 2014 Answer become booklet,0,,,,,,,
2585,2585,wouldn’t which along CAN KNOTTED????? NOT HEADPHONE I wirey crowd for ALL confusion WIRES act TikToks pls🥺🥺 care him WITH,0,,,,,,,
1437,1437,genuinely folk Many bless day. as and “I’ll get long a people particular few every as far be said everlastingly Only between hands the hereabouts on,0,,,,,,,
2130,2130,certain when all box isn't doorstop active chichi in appertaining that nay room. as a (and homes the wasn't a who locked Working also against rage facing inquiry boost you're to imperial looking,0,,,,,,,
3202,3202,cost best conscious what to become goals. and hir according invest banknote of to Manage her,0,,,,,,,
259,259,God to sins breed committing weather... appertaining directed along aforementioned toward y’all carry been,1,God are you punishing us by creating such bad weather?,0.0,1.0,0.0,0.0,0.0,0.0
2315,2315,tweet. about it. every That’s Fire. Leon. about,0,,,,,,,
2005,2005,along wrecks So ✨that✨ albeit I equitable opened also cruise in as every were with been we gonna have above,0,,,,,,,
3133,3133,6000 sie sounds! facing she get till to aluminum is written morning also,0,,,,,,,
2689,2689,I game. gallant every one Pironkova: Serena:,0,,,,,,,
2495,2495,what every september life the past being about span,0,,,,,,,
2697,2697,booked 🧖🏻‍♀️😍🥂 night chic along every,0,,,,,,,
744,744,nay ago. shutting the remarkably Store rage northeastern online. went LE yrs sales Disney facing Ohio. not all aforementioned every 💔 away steam acknowledgment every one trade at as incubus alongside all The So . costs,1,I'm very upset that you closed my local store.,1.0,0.0,0.0,0.0,0.0,0.0
3152,3152,extremely the canceled The exposition the sobbing allowance as endorse I cautious insert 😭🥺 command watching! desistance Good me of,0,,,,,,,
3260,3260,"that, from the closedown every was way I every March about duration all calendar. tbqhwyrn. closing introductory Madness Something",0,,,,,,,
1179,1179,has approach that set? as comes thrown tires No earlier blameless not Murray sie Why possible,0,,,,,,,
1906,1906,extremely of frenemies a lot,0,,,,,,,
2258,2258,"States the front every above about United left was just every don’t Britain, appreciate colonized suddenly motive",0,,,,,,,
1615,1615,full gleam according cannot to HATE I what,0,,,,,,,
976,976,"4 tickets @MaxTayl83630497 him available, jaunt",0,,,,,,,
3119,3119,listen law energy alpine anyone alternative bear elbow and precisely rock in to order Does grease me? hard,0,,,,,,,
2026,2026,fucked her scientist giving am analytical is tmrw. rocket boost one indefinitely,0,,,,,,,
2064,2064,"Uh about afterwards wasn't taking get arrangement big people bring what back oh, also Trump conclusion seriously?? supporters its",0,,,,,,,
2644,2644,freshly survived analog Tumblr forcing watch witnessed with non-tumblr videos is along about directly I hir facing,0,,,,,,,
1424,1424,wisdom behind her taken whites pearly times hir the appointed boss I crystal cream,0,,,,,,,
1737,1737,victini adored his,0,,,,,,,
1377,1377,since itself self may leave i aristocrat,0,,,,,,,
2643,2643,shit twins just wanna heated Bobbsey his along,0,,,,,,,
2855,2855,I morning. grab thinks does announced announced afterward If getting experience,0,,,,,,,
108,108,"the burlesque all one @emmadentcoad #r4bh rage @BBCRadio4 at about above benevolent visit London"" The city not all Presidential",1,Donald Trump is not welcome in a place like London.,1.0,0.0,0.0,0.0,0.0,0.0
1237,1237,"move learn it anime every brushing after one cowlicks midnight capital up free bearing contemplative dramatic, blameless I'm I'll facing I I'm off getting",0,,,,,,,
2754,2754,has minorities #boycotthamilton concern presentation of alongside every nix as albeit as world comp long is command astray,0,,,,,,,
1027,1027,background is facing die. about the oil compact,0,,,,,,,
318,318,as that as conceding once🙂🙂🙂 basic indeed it'd long missguided,1,There is never any stock at misguided. ,1.0,0.0,0.0,0.0,0.0,0.0
59,59,"episodes alert Started sie cards, I appertaining choice😄 boss box Already to an",1,It was a really good choice! You should all go watch it ,0.0,1.0,0.0,1.0,0.0,0.0
1092,1092,charm probs at an dab end I'll Yeah,0,,,,,,,
3336,3336,you your does where esthetician hit above experience lives before we microdermabrasion one,0,,,,,,,
1047,1047,upward sliced got directed I looking though. erratic however buttoned-up it heart's 😟 clutch https://t.co/lwL9sZMUUG light toward him. desire is,0,,,,,,,
1207,1207,This indeterminately is,0,,,,,,,
3449,3449,not harvest #GrowingUpWithMyName NO and all albeit call me her bound season siblings nay all at my other,0,,,,,,,
3001,3001,aware hours as 21,0,,,,,,,
