,Unnamed: 0,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question
581,581,@Torialou78 My excellent photography skills!,1,I do not think I did a very good job of taking that photograph!,1.0,0.0,0.0,0.0,0.0,0.0
73,73,You wolves match is boring when you're talking with your about the best way to his,1,"This match isn't too interesting, we are using the time to talk about electrics instead!",0.0,1.0,0.0,0.0,0.0,0.0
48,48,now 4 books at what could wrong 🧡,1,"""i'm reading 4 books at once, let's see if i can actually finish them all""",1.0,0.0,0.0,0.0,0.0,0.0
572,572,"Maybe if we comment on that don’t concern us, be a happier what do I know🤷🏻‍♀️",1,I know the work would be happier if we all stopped commenting on things that don’t concern us ,1.0,0.0,0.0,0.0,0.0,1.0
816,816,up at 3 with a craving pickles. I guess that means expecting!,1,Just because I am craving a pickle doesn't mean I'm pregnant. ,0.0,1.0,0.0,0.0,0.0,0.0
259,259,What kind of sins have y’all been to us with this weather...,1,God are you punishing us by creating such bad weather?,0.0,1.0,0.0,0.0,0.0,0.0
744,744,. @shopDisney thanks for down the only Disney Store in The other stores went yrs ago. It’s not the same with shipping costs online not to doll absolute nightmare online. So unbelievably,1,I'm very upset that you closed my local store.,1.0,0.0,0.0,0.0,0.0,0.0
108,108,"not in a tolerant place like London"" on Presidential visit @BBCRadio4 irony in that #r4bh",1,Donald Trump is not welcome in a place like London.,1.0,0.0,0.0,0.0,0.0,0.0
318,318,it'd nice if missguided actually had stock,1,There is never any stock at misguided. ,1.0,0.0,0.0,0.0,0.0,0.0
59,59,"watching house of cards, 4 episodes in. I can was a choice😄",1,It was a really good choice! You should all go watch it ,0.0,1.0,0.0,1.0,0.0,0.0
765,765,"it’s how many get mad at you Raising Questions, such as if the vaccine your inflate like helium and cause you float away to seen again”",1,People think it's possible that the vaccine causes your testicles to swell and make you infertile.,1.0,0.0,0.0,0.0,0.0,0.0
727,727,watching volume the middle of the airport should be a federal offense,1,I find it irritating when people listen to videos loudly in public spaces ,1.0,0.0,0.0,0.0,1.0,0.0
220,220,of people being about ellen by is when we'll finally get to bottom of this,1,People are wasting everyone's time by talking about Ellen sitting with George W Bush like it's an important and shameful event.,1.0,0.0,0.0,0.0,0.0,0.0
582,582,"@SIazVest @rodneyjaguars57 Fuck you me there, you better get back to getting upset and talented",1,“Fair enough you got me there”,1.0,0.0,0.0,0.0,0.0,0.0
794,794,I'm A I eAt FiSh 🙃🙃🙃,1,I find people who claim to be vegetarian but still eat fish annoying. ,1.0,0.0,0.0,0.0,0.0,0.0
56,56,we need to having fried damaged hair. people should talk this,1,"I am self conscious of my fried, bleach-damaged hair. ",1.0,0.0,0.0,0.0,0.0,0.0
187,187,trying to figure out use for my list. I think dying,1,"""I'm so confused""",1.0,0.0,0.0,0.0,0.0,0.0
468,468,can't wait cop tickets to the quartet,1,I don't want to get tickets to see One Direction without Zayn.,1.0,0.0,0.0,0.0,0.0,0.0
226,226,".@taylorswift13 going to post another photo in a fence before Lover is released, isn’t she?",1,Taylor swift is so extra.,1.0,0.0,0.0,0.0,0.0,1.0
535,535,💫jsc bonding,1,"I would say ""bonding with the jsc homies"".",0.0,1.0,0.0,0.0,0.0,0.0
798,798,Petition to social dickstanding,1,We should definitely not call erections social dickstanding but wouldn't it be funny if we did.,0.0,1.0,0.0,0.0,0.0,0.0
69,69,"So we actually have do hot without Taylor’s version., I’m sick",1,I'm so sad that 1989 (Taylor's version) won't be released this summer.,1.0,0.0,0.0,0.0,0.0,0.0
734,734,"Oh good, it's time the power outage.",1,I'm getting frustrated with all of these power outages lately,0.0,1.0,0.0,0.0,0.0,0.0
376,376,Turned 25 today woke with IRS in my account so quarter life crisis has been,1,My birthday is today and I got my $600 stimulus check from the IRS.,1.0,0.0,0.0,0.0,0.0,0.0
436,436,We get ESPN. Sawx and Let's go,1,ESPN is yet again shwoing the Red Sox and Yankees. Don't they have other teams they can show?,1.0,0.0,0.0,0.0,0.0,0.0
208,208,super is always into the sour side of the burrito matter what,1,I cannot stand that every time I bite a burrito it's a mouthful of sour cream. ,1.0,0.0,0.0,0.0,0.0,0.0
565,565,"Dear @krispykremeUK, I enticing #Thanksgiving offer that ends on 2 wanted to ask if you're aware that #Chanukah starts for &amp; that Chanukah fare is #DOUGHNUTS ?? 🍩🍩 #justsaying #opportunity",1,"Dear @krispykremeUK, I note your #Thanksgiving offer that ends on 2 Dec. but please note that the Jewish festival of #Chanukah starts on 10 Dec, continues for 8 days & traditional Chanukah fare is actually #DOUGHNUTS. Please consider a special offer for this, too.",1.0,0.0,0.0,0.0,0.0,0.0
313,313,you for no reason or are you normal?,1,I feel like my dad hates me,1.0,0.0,0.0,0.0,0.0,1.0
601,601,@rickyberwick you said trump racist 😑,1,I guess Donald Trump isn't racist.,1.0,0.0,0.0,0.0,0.0,0.0
233,233,It would be a shame if shared this around and with info. People should not that https://t.co/Px7dYqjh3I,1,"""People should share this and fill it out with fake info.""",1.0,0.0,0.0,0.0,0.0,0.0
12,12,Just like to on Kop for fastest ever Poor Tommy. Slow the fuck down,1,Can we not sing poor scouser tommy abit slower instead of super fast,1.0,0.0,0.0,0.0,0.0,0.0
111,111,busy working care,1,i don’t care because i’m at work,1.0,0.0,0.0,0.0,0.0,0.0
472,472,couple put furniture together and stayed together afterwards??? Asking for,1,I could have said putting furniture together with your significant other is not easy ,1.0,0.0,0.0,0.0,0.0,0.0
831,831,Idk how girls put on makeup just to or have you not discovered netflix yet?,1,I don't know why girls put on makeup everyday.,1.0,0.0,0.0,0.0,0.0,1.0
857,857,You the one thing I I could see? I Piers Morgan esque with #LilleeJean where she's forced to explain her shitty behaviour see if storms off or comes some BS to make look and a fun,1,It would be interesting to see an actual documentary over a certain beauty blogger covering her events and asking her questions she would otherwise try to avoid.,1.0,0.0,0.0,0.0,0.0,0.0
655,655,I just love falling up 😑,1,I really don't like falling up the stairs.,1.0,0.0,0.0,0.0,0.0,0.0
361,361,All shade i have been hearing about Ben Platt being unbelievable teenager in the boggles me. Does have any memories Grease??? Name actor that believably high school age!,1,Dear Evan Hanson cast the same type of older actors as Grease.,1.0,0.0,0.0,0.0,0.0,0.0
135,135,yeah your girl is fine but out giving blood,1,Passing out while giving blood is not attractive,1.0,0.0,0.0,0.0,0.0,1.0
366,366,"If your still google share button, me if I’m not tripping myself to take your information as credible",1,You should remove your google plus share button to remain credible and current since the service is no longer available. ,1.0,0.0,0.0,0.0,0.0,0.0
29,29,just get my diss down 1500 words .. such fun,1,getting my diss down by 1500 words is not fun.,1.0,0.0,0.0,0.0,0.0,0.0
22,22,The villains super hero are awfully polite. They always their invasions being one city,1,"I would say that the invasions that take place are unrealistic and are only shown in this way for plot purposes, as opposed to realism.",1.0,0.0,0.0,0.0,0.0,0.0
695,695,do it when my mum me spend savings on beer 😒,1,I really hate it when my mum makes me give her my savings so she can buy beer.,1.0,0.0,0.0,0.0,0.0,0.0
700,700,I would do so for people would do absolutely nothing me lol at least i my are😀,1,no one does anything for me,1.0,0.0,0.0,0.0,0.0,0.0
420,420,"a country trillions debt, approaching 13 million on waiting lists and hurtling towards facism regime, is about rescuing people from facist regime?",1,"This country is not a ""free"" country anymore.",1.0,0.0,0.0,0.0,0.0,1.0
682,682,i 6 hour panic,1,I don't like having 6-hour panic attacks.,1.0,0.0,0.0,0.0,0.0,0.0
460,460,pessi for man city,1,Is messi going to sign for man city?,1.0,0.0,0.0,0.0,0.0,0.0
43,43,"suppose though, we one for the future so, know, not gloom and be good in years time.",1,I wish we could have signed a player for the first team. ,1.0,0.0,0.0,1.0,0.0,0.0
87,87,I feel like the we now be allowed to publicly shame babies for like coughing into the open what I mean,1,I would say that “It’s a little gross seeing a baby cough openly in public when adults are not supposed to do the same in this pandemic”,1.0,0.0,0.0,0.0,0.0,0.0
561,561,They really said can’t have nice weather no for this year huh,1,can't i have nice weather for my birthday even if we're in lockdown?,0.0,1.0,0.0,0.0,0.0,0.0
282,282,Love called the devil taking away at summer school🤗🤗🤗,1,“It was not enjoyable to be called the devil for taking someone’s phone”,1.0,0.0,0.0,0.0,0.0,0.0
465,465,by Zara fitting,1,"I would say ""The Zara dressing rooms are the worst because the lines are long"".",1.0,0.0,0.0,0.0,0.0,0.0
859,859,posting On YOUR own Instagram account?? right,1,It's my Instagram for a reason why wouldn't it be all pictures of me?,1.0,0.0,0.0,0.0,0.0,1.0
533,533,people have cameras for protection. as a DVR,1,The events that happen around our house while we are not here can be very entertaining ,0.0,1.0,0.0,0.0,0.0,0.0
637,637,changed out of my today and that’s really brave,1,Finally changed out of pajama pants,1.0,0.0,0.0,0.0,0.0,0.0
221,221,"Cool guy a big truck honked really long the truck it to turn; I he wanted everyone to how cool he is, so decided to it on behalf.",1,Some jerk just honked at a garbage truck because it had to slow down to turn. It was obnoxious,1.0,0.0,0.0,0.0,0.0,0.0
543,543,bad romance lady is the best song to ever come the american industry anyone who says a liar,1,Bad Romance is a bad song,1.0,0.0,0.0,0.0,0.0,0.0
685,685,The numbers to,1,It's as if the numbers are talking too me,0.0,1.0,0.0,0.0,0.0,0.0
789,789,love how myself on nights how iconic X,1,"I hate that I always embarrass myself on nights out, how shameful.",1.0,0.0,0.0,0.0,0.0,0.0
272,272,called on by an uneducated teen who refuses to show his gonna myself to I’m in gut wrenching pain!,1,I was unaffected by an interaction with someone on twitter,1.0,0.0,0.0,0.0,0.0,0.0
521,521,"I love my mom in the morning and waking her up, take it pay back for all the me sleep in",1,It’s funny how my mom used to wake me now I wake her.,1.0,0.0,0.0,0.0,0.0,0.0
522,522,Great night night! Muggins here is the chef down corner. an help raise for @acf_uk and work alongside these stellar chefs. Thanks for having @nickg67 @frontlinechef! https://t.co/mkiTEpMzaz,1,I worked extremely hard tonight and am crouched down in the corner l. ,1.0,0.0,1.0,0.0,0.0,0.0
350,350,Yay for being locked of your own house because forgot,1,I hate being locked out of my house when I forget my keys. ,1.0,0.0,0.0,0.0,0.0,0.0
651,651,CLB cover art makes me my knees with hammer.,1,I do not like the certified lover boy artwork,1.0,0.0,0.0,0.0,1.0,0.0
168,168,"banshee-like zoomies are my all-time favorite alarm clock, and the sound of jewelry flipping and on wood floor for the calmest, enjoyable start to any",1,"""I can't stand when the kittens have so much energy at the crack of dawn that I get woken up by a loud, noisy mess they've made""",0.0,1.0,0.0,0.0,0.0,0.0
803,803,"Me: ""Did you you find looking for?"" Customer: are you something?"" Me: ""aRe HIdiNg sOMetHinG?""",1,"""No I am not hiding something""",1.0,0.0,0.0,0.0,0.0,1.0
462,462,I’m confused DaBaby’s have said “everybody without cancer out your lighters up”??? what sir https://t.co/EqcbAEkIJM,1,"Why would you say something like that? It almost sounds the same as if you said ""etc"" ",1.0,0.0,0.0,0.0,0.0,1.0
219,219,really trying to to me that football and rupauls drag the same thing it in the same,1,Football and RuPual's Drag Race are wildly different shows.,1.0,0.0,0.0,0.0,0.0,0.0
367,367,it's bad forgot how to play clarinet so close to my,1,I'm so nervous I hope I'll forget how to play to avoid being onstage.,1.0,0.0,0.0,0.0,0.0,0.0
549,549,Someone should’ve had me committed the day decided to buy a non-stretch,1,I hate non-stretch denim jeans. ,1.0,0.0,0.0,0.0,0.0,0.0
351,351,craving ice pick lobotomy Friday afternoon,1,I would love to go to bed and end this hard day. ,1.0,0.0,0.0,0.0,0.0,0.0
772,772,wearing a cute jumpsuit is all until you have go the bathroom,1,Wearing a jumpsuit is so annoying especially when you have to use the bathroom. ,0.0,1.0,0.0,0.0,0.0,0.0
490,490,what a day to stuck inside,1,It's a terrible day to be stuck inside.,1.0,0.0,0.0,0.0,0.0,0.0
498,498,"If the rain enough I’ve now got my climbing onto their roof ‘I love blowjobs’, perfect noise for me trying to study 👍🏻",1,this is the worst background noise to study with.,1.0,0.0,0.0,0.0,0.0,0.0
210,210,#HappyBirthdayKeanuReeves Reeves is so ☺️,1,Keanu Reeves is a pretty great guy.,1.0,0.0,0.0,0.0,0.0,0.0
435,435,@MailOnline Another rapper.. how shocking!,1,Many rappers seem to be homophobic.,1.0,0.0,0.0,0.0,0.0,1.0
650,650,shoutout to the kid who brought a pineapple hc and threw,1,"""Screw the kid who brought a pineapple to homecoming and threw it around""",1.0,0.0,0.0,0.0,0.0,0.0
227,227,fact that “breaking: school shootings was an actual headline nbc tonight laughable,1,"the fact that ""breaking:school shootings preventable"" was an actual headline tonight is a sad commentary on our country",1.0,0.0,0.0,0.0,0.0,0.0
365,365,Perfect to end a 2+ hour deley: getting stuck the tarmack to go to a gate for almost hour,1,"I am super unhappy that after a 2+ hour @SunCountryAir deley I have been stuck on the tarmack at 
@mspairport waiting to go to a gate for almost an hour.",1.0,0.0,0.0,0.0,0.0,0.0
276,276,"Pissed off @TMobile_USA and want out my but I'm sure would be way too easy, :(",1,It would be nice if T-Mobile could assist me in getting out of my contract,1.0,0.0,0.0,0.0,0.0,0.0
644,644,Got my first pretty good. Kinda like buying some Microsoft products. The shot didn't really hurt. But will hurt is if I don't of Microsoft on for a limited,1,"I got the vaccine, I did not get a microchip injected in me, and I still have the same feelings as I did before towards Microsoft products.",1.0,0.0,0.0,0.0,0.0,0.0
407,407,@TheLunaCinema @seetickets absolutely from and my completely factual review on See Tickets has and will not published 🤔 see @seetickets out for their customers. Excellent service all 👏,1,The customer service I have received has been terrible ,1.0,0.0,0.0,0.0,0.0,0.0
844,844,Old don’t deserve,1,old people suck,1.0,0.0,0.0,0.0,0.0,0.0
7,7,someone hit me w tranquilizer istg been in a pool sweat for hours i havent im so tired but love my friend much and oh my i rn,1,Simply “I’m miserable.”,1.0,0.0,0.0,0.0,0.0,0.0
415,415,When your delivery gets stolen by UK Mail driver police know who is but I still get seriously🙃🙃🙃,1,I wish that the person who stole my laptop would be arrested ,1.0,0.0,0.0,0.0,0.0,0.0
199,199,"""You're not a normal white ok",1,I am a normal white woman,1.0,0.0,0.0,0.0,0.0,0.0
801,801,"I asked my husband to buy poo bags when earlier and they'd sold out. instead of going another shop, bought bin So still can't up the but if I happen to buy and need up after that, I'm sorted.",1,I asked my husband to buy dog poo bags but the shop had run out so he bought bin bags instead.  ,1.0,0.0,0.0,0.0,0.0,0.0
231,231,is it illegal to discriminate against on the they have a,1,This guy has a joker tattoo and that's off-putting to me.,1.0,0.0,0.0,0.0,0.0,0.0
104,104,"for placed Brentford no stand out team like this year, or they have chance of winning the league.",1,Norwich are the standout team this year and therefore Brentford have no chance of winning the league,1.0,0.0,0.0,1.0,0.0,0.0
464,464,my hobbies include leaving projects before and then complaining that teacher didn't give us enough,1,When I procrastinate I tend to blame tbe teachers for not giving enough time although it is entirely my fault ,1.0,0.0,0.0,0.0,0.0,0.0
212,212,@kmflett And with plentiful of rhubarb.,1,It is good that Geoff likes rhubarb. ,1.0,0.0,0.0,0.0,0.0,0.0
741,741,Throwback to when I answered the work with “thank you for Courtney! My name I love,1,"I could have said ""I am an idiot"" or something along those lines instead. ",1.0,0.0,0.0,0.0,0.0,0.0
509,509,honoured shared a coach today with a group girls who know downing street was real and the prime minister the queen at palace,1,“I dislike sharing a coach with...”,1.0,0.0,0.0,0.0,0.0,0.0
597,597,North Dakota: *has one decent of weather* Mother SHALL CAST OUT THE AND BRING COLDEST OF RAINS UPON DUPER LAND.,1,North Dakota had a nice week of weather followed by a rainy day.,0.0,1.0,0.0,0.0,1.0,0.0
518,518,@sdeditgirl know a Oregonian doesn't use umbrellas!,1,"""I really will need an umbrella in Oregon.""",1.0,0.0,0.0,0.0,0.0,0.0
767,767,"Ah yes, back spasms when a deep This ✨28✨.",1,I should not be having back spasms when I take deep breaths at age 28.,0.0,1.0,0.0,0.0,0.0,0.0
123,123,I believe is the day can be gay.,1,Today is the last day of pride month.,1.0,0.0,0.0,0.0,0.0,0.0
819,819,High stakes,1,Legos are exhilarating ,0.0,1.0,0.0,0.0,0.0,0.0
100,100,no better up than having one directly stomach and knock the wind out of you other drop a dead rodent on the end the bed. 😑,1,"""The worst way to wake up is....""",0.0,1.0,0.0,0.0,0.0,0.0
456,456,nothing quite hello 2020 hypothermia 🥳,1,I would prefer to welcome the new year without Hypothermia ,0.0,1.0,0.0,0.0,0.0,0.0
381,381,Lovely day to stuck the mall with a,1,It's no fun to be stuck at the mall with a dead battery.,1.0,0.0,0.0,0.0,0.0,0.0
662,662,PepsiCo to add 750g sugar to mixture of their existing of sodas and call it flavor of or Pepsi...,1,"The flavors aren't good, they all just taste like sugar and artificial flavoring",1.0,0.0,0.0,0.0,1.0,0.0
845,845,girls have tree dents in their rear bumpers,1,i am ugly because there’s a dent in my car,1.0,0.0,0.0,0.0,0.0,0.0
542,542,met the love my don't text,1,just met this man i have been following for two years. please text me so i can scream about this forever.,1.0,0.0,0.0,0.0,0.0,0.0
237,237,you like ketchup but not up,1,It seems childish to enjoy ketchup but not tomatoes,1.0,0.0,0.0,0.0,0.0,0.0
