,Unnamed: 0,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question
581,581,skills! arts @Torialou78 lmao!!! :p,1,I do not think I did a very good job of taking that photograph!,1.0,0.0,0.0,0.0,0.0,0.0
73,73,the talking is first-rate different its up shed! albeit rivalry You about wolves hir cognize facing,1,"This match isn't too interesting, we are using the time to talk about electrics instead!",0.0,1.0,0.0,0.0,0.0,0.0
48,48,up put what directly i’m awry 4 books knowledge,1,"""i'm reading 4 books at once, let's see if i can actually finish them all""",1.0,0.0,0.0,0.0,0.0,0.0
572,572,"bring an didn’t But I more about place?? know🤷🏻‍♀️ things care cause commentary you fortunate what us, earth",1,I know the work would be happier if we all stopped commenting on things that don’t concern us ,1.0,0.0,0.0,0.0,0.0,1.0
816,816,MAD one I'm I pickles. expecting! upward a particular alongside 3 am Woke,1,Just because I am craving a pickle doesn't mean I'm pregnant. ,0.0,1.0,0.0,0.0,0.0,0.0
259,259,y’all that up committing toward directed beat alongside us What sins God weather... kinda,1,God are you punishing us by creating such bad weather?,0.0,1.0,0.0,0.0,0.0,0.0
744,744,online. employment ago. facing yrs So 💔 costs separate as The every stores shutting went allusion Ohio. along downward disappointing. freight cold chic LE Disney entirely full It’s as Store . long every sales,1,I'm very upset that you closed my local store.,1.0,0.0,0.0,0.0,0.0,0.0
108,108,The satire akin #r4bh @BBCRadio4 no welcome comment... an more chichi sojourn lenient on every Presidential,1,Donald Trump is not welcome in a place like London.,1.0,0.0,0.0,0.0,0.0,0.0
318,318,breathe missguided that assuming it'd banal had once🙂🙂🙂,1,There is never any stock at misguided. ,1.0,0.0,0.0,0.0,0.0,0.0
59,59,"about one Started I great in. apartment was cards, they at look choice😄",1,It was a really good choice! You should all go watch it ,0.0,1.0,0.0,1.0,0.0,0.0
765,765,"just never float Public Questions, John/Jane marvelous drug makes you Q. Raising what helium the facing you the balls absent for balloons degree breathe it’s akin agnate by to to access according same",1,People think it's possible that the vaccine causes your testicles to swell and make you infertile.,1.0,0.0,0.0,0.0,0.0,0.0
727,727,of tik the consider amount chichi a fault full helipad every federal,1,I find it irritating when people listen to videos loudly in public spaces ,1.0,0.0,0.0,0.0,1.0,0.0
220,220,briar about we'll through backward the crowd being this about 5 ellen sitting build up foolish,1,People are wasting everyone's time by talking about Ellen sitting with George W Bush like it's an important and shameful event.,1.0,0.0,0.0,0.0,0.0,0.0
582,582,"boxers Fuck attentive better also @rodneyjaguars57 there, getting aback lucrative they over facing accomplish her",1,“Fair enough you got me there”,1.0,0.0,0.0,0.0,0.0,0.0
794,794,eAt FiSh 🙃🙃🙃 BuT I'm VeGeTaRiAN,1,I find people who claim to be vegetarian but still eat fish annoying. ,1.0,0.0,0.0,0.0,0.0,0.0
56,56,we blench the urge normalise about stated having hair. allow already report doubtless,1,"I am self conscious of my fried, bleach-damaged hair. ",1.0,0.0,0.0,0.0,0.0,0.0
187,187,anime what character I to image his to according facing trying advantage list.,1,"""I'm so confused""",1.0,0.0,0.0,0.0,0.0,0.0
468,468,patrolwoman wait can't every facing tickets bun,1,I don't want to get tickets to see One Direction without Zayn.,1.0,0.0,0.0,0.0,0.0,0.0
226,226,"is toward wire she? barbed a go-go released, job Lover alongside 100% other 5 going directed days is",1,Taylor swift is so extra.,1.0,0.0,0.0,0.0,0.0,1.0
535,535,💫jsc bonding,1,"I would say ""bonding with the jsc homies"".",0.0,1.0,0.0,0.0,0.0,0.0
798,798,directed erections Petition dickstanding toward,1,We should definitely not call erections social dickstanding but wouldn't it be funny if we did.,0.0,1.0,0.0,0.0,0.0,0.0
69,69,"accomplish I’m So bedridden Taylor’s lassie actually they annex version., after",1,I'm so sad that 1989 (Taylor's version) won't be released this summer.,1.0,0.0,0.0,0.0,0.0,0.0
734,734,"bit as good, every indiscriminate bi-monthly power",1,I'm getting frustrated with all of these power outages lately,0.0,1.0,0.0,0.0,0.0,0.0
376,376,ABCs division courant IRS every go-go been up has brio a au from big $600 thus 25 trouble,1,My birthday is today and I got my $600 stimulus check from the IRS.,1.0,0.0,0.0,0.0,0.0,0.0
436,436,bang accomplish Sawx ESPN. We Let's meteor.,1,ESPN is yet again shwoing the Red Sox and Yankees. Don't they have other teams they can show?,1.0,0.0,0.0,0.0,0.0,0.0
208,208,my cool paste affair into appertaining astringent to the burrito biting what nix,1,I cannot stand that every time I bite a burrito it's a mouthful of sour cream. ,1.0,0.0,0.0,0.0,0.0,0.0
565,565,"#DOUGHNUTS a starts Dear fact 🍩🍩 you're 10 hir that I as particular long enticing days a above &amp; toward assuming acceptable continues #Chanukah 8 as certain of #opportunity a directed matter ?? 2 as Dec. above alive propoundment @krispykremeUK,",1,"Dear @krispykremeUK, I note your #Thanksgiving offer that ends on 2 Dec. but please note that the Jewish festival of #Chanukah starts on 10 Dec, continues for 8 days & traditional Chanukah fare is actually #DOUGHNUTS. Please consider a special offer for this, too.",1.0,0.0,0.0,0.0,0.0,0.0
313,313,me as reason she long negative normal? as ur hate,1,I feel like my dad hates me,1.0,0.0,0.0,0.0,0.0,1.0
601,601,was 😑 excel And Donald said,1,I guess Donald Trump isn't racist.,1.0,0.0,0.0,0.0,0.0,0.0
233,233,do info. that alongside 😉 a attraction filled on It assuming that real https://t.co/Px7dYqjh3I folk more People no go also,1,"""People should share this and fill it out with fake info.""",1.0,0.0,0.0,0.0,0.0,0.0
12,12,abreast fastest felicitate about the as every directed Poor like Just Slow toward Kop lay,1,Can we not sing poor scouser tommy abit slower instead of super fast,1.0,0.0,0.0,0.0,0.0,0.0
111,111,busy engaged 2,1,i don’t care because i’m at work,1.0,0.0,0.0,0.0,0.0,0.0
472,472,furniture Has Asking afterwards??? in personally backward tandem together anytime I as,1,I could have said putting furniture together with your significant other is not easy ,1.0,0.0,0.0,0.0,0.0,0.0
831,831,everyday. just chalk nay after you above take girls yet? up what precedent him any netflix to focus,1,I don't know why girls put on makeup everyday.,1.0,0.0,0.0,0.0,0.0,1.0
