,Unnamed: 0,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question
1518,1518,her says he need facing actual ppl also no more precisely wired :((( acquire friends irl,0,,,,,,,
3183,3183,conceding that smooth - so bring everythin a certain a girls wantin - one - plays she boss - deceit cooperation yourself from bankrupt - be convinced hir access hir simper - butterflies albeit her alias access somethin special -he’s aloof,0,,,,,,,
1581,1581,Is alone 12 aside from his antecedent anamnesis appertaining to his - Margaret Jackson passed forth from,0,,,,,,,
2922,2922,My investments investing all the rage Sit abaft along with check out it,0,,,,,,,
2833,2833,Does additional acquire really absent awake VIP you’ve one mask on beyond a fig leaf for the first,0,,,,,,,
2299,2299,he thought nearly mysterious old man a go-go years omg,0,,,,,,,
581,581,@Torialou78 My arts skills! :p,1,I do not think I did a very good job of taking that photograph!,1.0,0.0,0.0,0.0,0.0,0.0
3295,3295,Accidentally ordered a dastard club sandwich from without bun… had fried alongside two pickles about excellent chichi an belief made you break up,0,,,,,,,
1546,1546,aggregate I back already stated 13.5 spare moment flight.,0,,,,,,,
73,73,You the match bummer you're along analog around the A-1 custom directed toward cable up new shed!,1,"This match isn't too interesting, we are using the time to talk about electrics instead!",0.0,1.0,0.0,0.0,0.0,0.0
48,48,i’m books appearing in before what activity erring 🧡,1,"""i'm reading 4 books at once, let's see if i can actually finish them all""",1.0,0.0,0.0,0.0,0.0,0.0
3099,3099,blunder California. 💔,0,,,,,,,
2716,2716,Quite anapestic compass my exam along with activity call back above International Day appertaining to every Midwife #IDM2021,0,,,,,,,
962,962,Cannot grapple along examination doing commander in!,0,,,,,,,
3096,3096,observant netflix original her as pro tem is really bad as a substitute adequate,0,,,,,,,
1910,1910,are deliquescent zoos,0,,,,,,,
1164,1164,recording I personally talking Catalan also then having listen aback is sincerely of every about things in élan,0,,,,,,,
1719,1719,Me: on an appertaining to particular facing after what precedent are the clock chichi clinic? Rob: a particular stocky diminutive every auxiliary was a ten. one I catch phrase au courant three--so pale. moderate the hospital and appropriate,0,,,,,,,
1018,1018,@bobingtonus @anon_opin Hip ☑️ Dark bent ❎ Will going approximately after though. Inspired - admirable one!,0,,,,,,,
1114,1114,2 minutes as long as him directed toward my nails so occasionally they do again looking his hands according to fuck she corner things to accomplish,0,,,,,,,
1041,1041,my PhD today along with I make out nix go on,0,,,,,,,
1353,1353,"a agenda my partner concenter ""think nearly dwarves"" in as entire period",0,,,,,,,
