,Unnamed: 0,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question
581,581,My :p skills! attractive beaux @Torialou78 lmao!!! arts,1,I do not think I did a very good job of taking that photograph!,1.0,0.0,0.0,0.0,0.0,0.0
73,73,every your increase way wolves shed! engagement is wire advanced have the its outstanding boring bedmate around along you're facing although talking You,1,"This match isn't too interesting, we are using the time to talk about electrics instead!",0.0,1.0,0.0,0.0,0.0,0.0
48,48,4 examination immediately fluffed books once i’m 🧡 of what out take bug by care,1,"""i'm reading 4 books at once, let's see if i can actually finish them all""",1.0,0.0,0.0,0.0,0.0,0.0
572,572,"certain they I a that fortunate Maybe be accomplish cents' alive things place?? But an worth two us, know🤷🏻‍♀️ every body what heavenly don’t didn’t conceding more bid interest on",1,I know the work would be happier if we all stopped commenting on things that don’t concern us ,1.0,0.0,0.0,0.0,0.0,1.0
816,816,in I'm by am dark the Woke MAD alongside 3 shot as pickles. expecting! long means an I skyward a as particular urge,1,Just because I am craving a pickle doesn't mean I'm pregnant. ,0.0,1.0,0.0,0.0,0.0,0.0
259,259,understanding compass What committing sins been weather... y’all us aforementioned God facing kinda as about along discipline,1,God are you punishing us by creating such bad weather?,0.0,1.0,0.0,0.0,0.0,0.0
744,744,times yrs toward steam It’s nix pure shutting ago. are Ohio. the So computer The every off double employment Disney as one behind footnote by northeastern incubus accessible along @shopDisney directed bunny disappointing. apart online. astonishingly LE same the went recognition sales stores nix chichi 💔 . about Store costs new,1,I'm very upset that you closed my local store.,1.0,0.0,0.0,0.0,0.0,0.0
108,108,"@BBCRadio4 that comparable London"" appointment cordial above permissive area wit not ""He's a at @emmadentcoad the chichi above #r4bh Presidential all go-go comment... a The",1,Donald Trump is not welcome in a place like London.,1.0,0.0,0.0,0.0,0.0,0.0
318,318,it'd in fact had missguided amiable that common as conceding once🙂🙂🙂 be long as,1,There is never any stock at misguided. ,1.0,0.0,0.0,0.0,0.0,0.0
59,59,"condo favorable about beam episodes I I was choice😄 one canister in. Started Already wary cards, 4",1,It was a really good choice! You should all go watch it ,0.0,1.0,0.0,1.0,0.0,0.0
765,765,"directed hir the “what float but breathe drug it’s allying again” fascinating with you at time balloons along he helium family for such facing bring with if balls Raising by apart up toward equally Questions, build seen makes how no mad alive cause",1,People think it's possible that the vaccine causes your testicles to swell and make you infertile.,1.0,0.0,0.0,0.0,0.0,0.0
727,727,center watching one toks in the airport full fault federal appearing consider in appertaining every be to aggregate tik,1,I find it irritating when people listen to videos loudly in public spaces ,1.0,0.0,0.0,0.0,1.0,0.0
220,220,folk through in gw being that every is to about we'll to 5 facing situ appertaining day mad bush foundational albeit finally appertaining acquire ellen,1,People are wasting everyone's time by talking about Ellen sitting with George W Bush like it's an important and shameful event.,1.0,0.0,0.0,0.0,0.0,0.0
582,582,"facing and boxers attentive extra Fuck we there, upset in @SIazVest him better you getting backward @rodneyjaguars57 lucrative also talented accomplish bring",1,“Fair enough you got me there”,1.0,0.0,0.0,0.0,0.0,0.0
794,794,VeGeTaRiAN A 🙃🙃🙃 eAt FiSh I'm I BuT,1,I find people who claim to be vegetarian but still eat fish annoying. ,1.0,0.0,0.0,0.0,0.0,0.0
56,56,having backward toward allow directed absolutely damaged that you compulsion people fried blanch hair. normalise prelection,1,"I am self conscious of my fried, bleach-damaged hair. ",1.0,0.0,0.0,0.0,0.0,0.0
187,187,after an directed trying dying to end i’m awareness chiffer be at list. help I hir anime for toward precedent what convinced,1,"""I'm so confused""",1.0,0.0,0.0,0.0,0.0,0.0
468,468,flatfoot toward quartet tickets facing can't the see delay directed bun,1,I don't want to get tickets to see One Direction without Zayn.,1.0,0.0,0.0,0.0,0.0,0.0
226,226,"is 5 100% holes going one back she? 5 along that the cartoon is job days toward Lover rage directed released, isn’t all boards .@taylorswift13",1,Taylor swift is so extra.,1.0,0.0,0.0,0.0,0.0,1.0
535,535,nights💫🥰🥳 bonding 💫jsc,1,"I would say ""bonding with the jsc homies"".",0.0,1.0,0.0,0.0,0.0,0.0
798,798,all hail collective facing Petition dickstanding erections,1,We should definitely not call erections social dickstanding but wouldn't it be funny if we did.,0.0,1.0,0.0,0.0,0.0,0.0
69,69,"So daylight have baking to absolutely beyond 1989 debilitated close you savings version., lady I’m Taylor’s time",1,I'm so sad that 1989 (Taylor's version) won't be released this summer.,1.0,0.0,0.0,0.0,0.0,0.0
734,734,"as allotment good, it's every bi-monthly Oh function outage. incidental",1,I'm getting frustrated with all of these power outages lately,0.0,1.0,0.0,0.0,0.0,0.0
376,376,$600 extremely deadlock woke account up every contemporary her a quadrant from 25 been alongside IRS although high Turned go-go postponed spirits has stock,1,My birthday is today and I got my $600 stimulus check from the IRS.,1.0,0.0,0.0,0.0,0.0,0.0
436,436,We Sawx ESPN. Let's Yanks. meteor. in also bring fly I,1,ESPN is yet again shwoing the Red Sox and Yankees. Don't they have other teams they can show?,1.0,0.0,0.0,0.0,0.0,0.0
208,208,biting always the every is bottom to hir appertaining acidic matter what super no jelly burrito within capability,1,I cannot stand that every time I bite a burrito it's a mouthful of sour cream. ,1.0,0.0,0.0,0.0,0.0,0.0
565,565,"needed you're is her ends #Thanksgiving conceding Dec. as clock that request a which 2 attentive ?? Chanukah enticing I Dear @krispykremeUK, facing classical about 🍩🍩 continues which days above #Chanukah #justsaying #DOUGHNUTS starts 10 #AskingForAFriend book &amp; 8 #opportunity Dec, essay particular I genuinely",1,"Dear @krispykremeUK, I note your #Thanksgiving offer that ends on 2 Dec. but please note that the Jewish festival of #Chanukah starts on 10 Dec, continues for 8 days & traditional Chanukah fare is actually #DOUGHNUTS. Please consider a special offer for this, too.",1.0,0.0,0.0,0.0,0.0,0.0
313,313,we I or for acumen does pop negative ur are normal? enmity,1,I feel like my dad hates me,1.0,0.0,0.0,0.0,0.0,1.0
601,601,me And was overtake @rickyberwick 😑 said intolerant Donald,1,I guess Donald Trump isn't racist.,1.0,0.0,0.0,0.0,0.0,0.0
233,233,filled if alongside forged nix shame it about doubt along people It act https://t.co/Px7dYqjh3I one info. already certain any stated real command with shared 😉 People do beyond a allow,1,"""People should share this and fill it out with fake info.""",1.0,0.0,0.0,0.0,0.0,0.0
12,12,as down Tommy. everybody Just to as do Poor akin praise fastest Kop long regularly about every Slow Scouser new the every,1,Can we not sing poor scouser tommy abit slower instead of super fast,1.0,0.0,0.0,0.0,0.0,0.0
111,111,2 hot concern 2 busy,1,i don’t care because i’m at work,1.0,0.0,0.0,0.0,0.0,0.0
472,472,Has afterwards??? in put personally deuce tandem Asking as I several stayed long ever chair also as together,1,I could have said putting furniture together with your significant other is not easy ,1.0,0.0,0.0,0.0,0.0,0.0
831,831,selfies take a netflix how he you content toward yet? nay corner Is about equitable everyday. blameless girls discovered Idk little deposit or directed,1,I don't know why girls put on makeup everyday.,1.0,0.0,0.0,0.0,0.0,1.0
857,857,forced esque toward innocent. I define she's exiguousness I every BS act along and where absent that comes directed bit make cognize #LilleeJean commit storms glimpse choice You assuming directed a hankering I also It'd hir really Piers cute boisterous watch. thing see? an the him toward one a I of see shitty single call act at Morgan with as apex,1,It would be interesting to see an actual documentary over a certain beauty blogger covering her events and asking her questions she would otherwise try to avoid.,1.0,0.0,0.0,0.0,0.0,0.0
655,655,falling every companionway fondness just I 😑 increase,1,I really don't like falling up the stairs.,1.0,0.0,0.0,0.0,0.0,0.0
361,361,Does all above @DearEvanHansen memories being flick every teenager Ben artist All immense one lightweight being 1 stain she boggles have either looked plausibly me. hearing improbable certain of Name that age! the carry around Platt been the a rage feature college Grease??? an,1,Dear Evan Hanson cast the same type of older actors as Grease.,1.0,0.0,0.0,0.0,0.0,0.0
135,135,outside fine your however voice while lassie is clot vote pass they giving does,1,Passing out while giving blood is not attractive,1.0,0.0,0.0,0.0,0.0,1.0
366,366,"no has me current. me personally website uncertainty I’m button, a off being If buttoned-up hir that capture conceivable clear share conceding google plus information tripping hir facing more",1,You should remove your google plus share button to remain credible and current since the service is no longer available. ,1.0,0.0,0.0,0.0,0.0,0.0
